, (L
LIME, AS
LIME, Cf
LIMEHOUND, Lime a leash + hound
LIMICOLAE, L
LIMIT, From L
LIMIT, 
LIMITANEOUS, L
LIMITARY, L
LIMITATE, L
LIMITATION, L
LIMMER, F
LIMN, 
LIM NAEA, NL
LIMNER, F
LIMNIAD, Gr
LIMONIAD, L
LIMONIN, From NL
LIMONITE, Gr
LIMOSIS, NL
LIMOUS, L
LIMP, 
LIMP, Cf
LIMPET, Prob
LIMPID, L
LIMPIDITY, L
LIMPSY; LIMSY, See Limp, a
LIMULE, F
LIMULOIDEA, NL
LIMULUS, L
LIMY, See 4th Lime
LIN, AS
LIN, Ir
LINAMENT, L
LINARITE, So called because formerly supposed to occur at
LINCH, AS
LINCHI, Native Chinese name
LINCHPIN, AS
LINCTURE; LINCTUS, L
LINDEN, Orig
LINDIA, NL
LINDIFORM, Lindia + -form
LINE, OE
LINE, OE
LINEAGE, OE
LINEAL, L
LINEAMENT, L
LINEAR, L
LINEATE; LINEATED, L
LINEATION, L
LINEN, OE
LINEN, Prop
LINEOLATE, L
-LING, AS
LING, OE
LING, Icel
LINGA; LINGAM, Skr
LINGEL, F
LINGENCE, L
Lin"ger, v. i. [imp. & p. p. Lingered; p. pr. & vb. n. Lingering.], OE
LINGET, F
LINGO, L
LINGUA, L
LINGUACIOUS, L
LINGUADENTAL, L
LINGUA FRANCA, It
LINGUAL, L
LINGUATULIDA, NL
LINGUATULINA, NL
LINGUIFORM, L
LINGUIST, L
LINGUISTIC; LINGUISTICAL, Cf
LINGUISTICS, Cf
LINGULA, L
LINGULATE, L
LINIGEROUS, L
LINIMENT, L
LINING, See Line to cover the in side
LINK, Prob
LINK, OE
LINKBOY; LINKMAN, See 1st Link
LINNAEA BOREALIS, NL
LINNAEITE, See Linnæan
LINNET, F
LINOLEUM, L
LINOXIN, Linoleic + oxygen
LINSEED, OE
LINSEY, See Linen
LINSTOCK, Corrupt
LINT, AS
LINTEL, OE
LINTIE; LINTWHITE, AS
LINUM, L
LION, F
LIONCEL, OE
LIONEL, OF
LIONESS, OF
LIONET, OF
LIP, OE
LIPAEMIA, NL
LIPARITE, So called from Lipari, the island
LIPIC, Gr
LIPOCEPHALA, NL
LIPOCHRIN, Gr
LIPOGRAM, Gr
LIPOGRAMMATIC, Gr
LIPOGRAMMATIST, Cf
LIPOMA, NL
LIPOTHYMIC, Gr
LIPOTHYMOUS, Gr
LIPOTHYMY, Gr
LIPPITUDE, L
LIPYL, Gr
LIQUABLE, l
LIQUATE, L
LIQUATION, L
LIQUEFACIENT, L
LIQUEFACTION, L
LIQUEFIABLE, Cf
Liq"ue*fy, v. t. [imp. & p. p. Liquefied; p. pr. & vb. n., F
LIQUESCENCY, See Liquescent
LIQUESCENT, L
LIQUEUR, F
LIQUID, L
LIQUIDAMBAR, Liquid + amber
Liq"ui*date, v. t. [imp. & p. p. Liquidated; p. pr. & vb. n., LL
LIQUIDATION, Cf
LIQUIDATOR, Cf
LIQUIDITY, L
LIQUOR, OE
LIRA, It
LIRELLA, NL
LIRELLIFORM, Lirella + -form
LIRIODENDRON, NL
LIRIPOOP, OF
LIROCONITE, Gr
LISNE, Prov
LISP, 
LISS, AS
LISS, AS
LISSENCEPHALA, NL
LISSOM; LISSOME, For lithesome
LIST, F
LIST, See Listen
LIST, OE
LIST, AS
LIST, 
LISTEL, F
Lis"ten, v. i. [imp. & p. p. Listened; p. pr. & vb. n. Listening.], OE
LISTLESS, OE
LITANY, OE
LITER; LITRE, F
LITERAL, F
LITERALITY, Cf
LITERARY, L
LITERATE, L
LITERATI, See Literatus
LITERATIM, LL
LITERATION, L
LITERATOR, L
LITERATURE, F
LITERATUS, L
LITH, AS
LITHAEMIA, NL
LITHAGOGUE, Gr
LITHARGE, OE
LITHARGYRUM, NL
LITHE, Icel Listen
LITHE, AS
LITHE, AS
LITHER, AS
LITHESOME, See Lithe, a
LITHIA, NL
LITHIASIS, NL
LITHIC, Gr
LITHIC, From Lithium
LITHIOPHILITE, Lithium + Gr
LITHIUM, NL
LITHOBILIC, Litho + bile
LITHOCARP, Litho- + Gr
LITHOCHROMICS, Litho- + Gr
LITHOCLAST, Litho- + Gr
LITHOCYST, Litho- + cyst
LITHODOME, Litho- + Gr
LITHODOMUS, NL
LITHOFELLIC, Litho- + L
LITHOFRACTEUR, F
LITHOGENESY, Litho- Gr
LITHOGENOUS, Litho- + -genous
LITHOGLYPH, Gr
Lith"o*graph, v. t. [imp. & p. p. Lithographed; p. pr. & vb. n., Litho- + -graph: cf
LITHOGRAPHIC; LITHOGRAPHICAL, Cf
LITHOGRAPHY, Cf
LITHOID; LITHOIDAL, Litho- + -oid: cf
LITHOLATRY, Litho- + Gr
LITHOLOGIC; LITHOLOGICAL, Cf
LITHOLOGY, Litho- + -logy: cf
LITHOMANCY, Litho- + -mancy: cf
LITHOMARGE, Litho- + L
LITHONTHRIPTIC; LITHONTHRYPTIC, Litho- + Gr
LITHONTRIPTIC, Gr
LITHOPHAGOUS, Litho- + Gr
LITHOPHANE, Litho- + Gr
LITHOPHOSPHOR, Litho- + phosphor
LITHOPHOTOGRAPHY, Litho- + photography
LITHOPHYLL, Gr
LITHOPHYSE, Litho- + Gr
LITHOPHYTE, Litho- + Gr
LITHOSIAN, From NL
LITHOTINT, Litho- + tint
LITHOTOME, Gr
LITHOTOMIC; LITHOTOMICAL, Gr
LITHOTOMIST, Cf
LITHOTOMY, L
LITHOTRIPSY, Litho- + Gr
LITHOTRITE; LITHOTRITOR, See Lithotrity
LITHOTRITY, Litho- + L
LITHOTYPY, Litho- + -typy
LITHOXYL, Litho- + Gr
LITHY, See Lithe
LITIGANT, L
Lit"i*gate, v. t. [imp. & p. p. Litigated; p. pr. & vb. n., See Litigation
LITIGATION, L
LITIGATOR, L
LITIGIOUS, L
LITMUS, D
LITOTES, NL
LITRANETER, Gr
LITRE, F
LITTER, F
LITTERATEUR, F
colloquial language. " Where love is great, the littlest doubts are, OE
LITTORAL, L
LITTORINA, NL
LITUATE, See Lituus
LITUIFORM, Lituus + -form
LITUITE, See Lituus
LITURATE, L
LITURGIC; LITURGICAL, Gr
LITURGIOLOGY, Liturgy + -logy
LITURGY, F
LITUUS, L
LIVE, OE
LIVE, Abbreviated from alive
LIVELIHOOD, OE
LIVELIHOOD, Lively + -hood
LIVELINESS, From Lively
LIVELODE, See 1st Livelihood
LIVELONG, For lifelong
LIVELY, For lifely
LIVER, AS
LIVERY, OE
LIVES, Orig
LIVID, L
LIVIDITY, Cf
LIVING, From Live, v
LIVOR, L
LIVRAISON, F
LIVRE, F
LIXIVIAL, L
LIXIVIATE; LIXIVITED, From Lixivium
LIXIVIATION, Cf
LIXIVIUM, L
LIZARD, OE
LLAMA, Peruv
LLANERO, Sp
LLANO, Sp
LO, OE
LOACH, OE
LOAD, OE
LOADSMAN; LODESMAN, Load, lode + man
LOADSTAR; LODESTAR, Load, lode + star
LOADSTONE; LODESTONE, Load, lode + stone
LOAF, OE
LOAF, G
LOAFER, G
LOAM, AS
LOAN, See Lawn
LOAN, OE
LOANIN; LOANING, From Scotch loan, E
LOATH, OE
LOATHE, 
LOATHLY, AS
LOB, W
LOB, Dan
LOBATE; LOBATED, See Lobe
LOBBY, LL
LOBE, F
LOBELIA, NL
LOBIPED, Lobe + L
LOBLOLLY, Etymol
LOBOSA, NL
LOBSCOUSE, Written also lobscourse from which lobscouse
Lob"scouse`, n. Etym: [Written also lobscourse from which lobscouse, Lob + course
LOBSPOUND, Lob + pound a prison
LOBSTER, AS
LOBULAR, Cf
LOBULE, Cf
LOBULETTE, Dim
LOCAL, L
LOCALE, F
LOCALITY, L
LOCALIZATION, Cf
Lo"cal*ize, v. t. [imp. & p. p. Localized; p. pr. & vb. n., Cf
Lo"cate, v. t. [imp. & p. p. Located; p. pr. & vb. n. Locating.], L
LOCATION, L
LOCELLATE, L
LOCH, Gael
LOCH, F
LOCHABER AX; LOCHABER AXE, So called from Lochaber, in
LOCHAGE, Gr
LOCHAN, Gael
LOCHIA, NL
LOCHIAL, Cf
LOCK, AS
LOCK, AS
LOCKET, F
LOCKRAM, F
LOCO, It
LOCO, Sp
LOCOFOCO, Of uncertain etymol
LOCOMOTION, L
LOCOMOTIVE, Cf
LOCOMOTIVENESS; LOCOMOTIVITY, Cf
LOCOMOTOR, See Locomotion
LOCULAMENT, L
LOCULAR, L
LOCULATE, L
LOCULE, Cf
LOCULICIDAL, L
LOCULOSE; LOCULOUS, L
LOCULUS, L
LOCUM TENENS, L
LOCUS, L
LOCUST, L
, Etymol
LOCUSTA, NL
LOCUSTELLA, NL
LOCUST TREE, Etymol
LOCUTION, L
LODE, AS
LODEMANAGE, OE
LODGE, OE
LODGE, OE
LODGEABLE, Cf
LODGMENT, Cf
LODICULE, L
LOELLINGITE, So called from Lölling, in Austria
LOESS, G
LOEVEN'S LARVA, Named after the Swedish zoölogist, S
LOFT, Icel
LOFTILY, From Lofty
LOFTY, From Loft
LOG, Heb
LOG, Icel
, Prob
LOGAOEDIC, Gr
LOGARITHM, Gr
LOGARITHMIC; LOGARITHMICAL, Cf
LOGE, F
LOGGAT, Also written logget
LOGGERHEAD, Log + head
LOGGIA, It
LOGIC, OE
LOGICAL, Cf
LOGICIAN, Cf
LOGISTIC; LOGISTICAL, Gr
LOGODAEDALY, Gr
LOGOGRAM, Gr
LOGOGRAPHIC; LOGOGRAPHICAL, Gr
LOGOGRAPHY, Gr
LOGOGRIPH, Gr
LOGOMACHIST, See Logomachy
LOGOMACHY, Gr
LOGOMETRIC, Gr
LOGOS, NL
LOGOTHETE, LL
LOGOTYPE, Gr
LOGWOOD, So called from being imported in logs
-LOGY, Gr
LOGY, From D
LOIMIC, Gr
LOIN, OE
LOIR, F
Loi"ter, v. i. [imp. & p. p. Loitered; p. pr. & vb. n. Loitering.], D
LOK; LOKI, Icel
LOKE, See Lock a fastening
LOLIGO, L
LOLL, 
LOLLARD, LL
LOLLER, See Loll
LOLLIPOP, Perhaps fr
LOLLOP, From Loll
LOMA, NL
LOMATINOUS, See Loma
LOMBARD, F
LOMBARD-HOUSE; LOMBAR-HOUSE, F
LOMENT, L
LOMENTACEOUS, From Loment
LONE, Abbrev
LONELY, Shortened
LONG, AS
LONG, AS
LONG, Abbreviated fr
LONG, 
LONGANIMITY, L
LONGE, Abbrev
LONGEVITY, L
LONGEVOUS, L
LONGICORN, L
LONGICORNIA, NL
LONGILATERAL, L
LONGILOQUENCE, L
LONGIMANOUS, L
LONGIMETRY, L
LONGINQUITY, L
LONGIPALP, F
LONGIPENNATE, L
LONGIPENNES, NL
LONGIROSTER, L
LONGIROSTRES, NL
LONGITUDE, F
LONGITUDINAL, Cf
LONGSHORE, Abbrev
LONGSHOREMAN, Abbrev
LONGSOME, AS
LONGSPUR, So called from the length of the hind claw
LONGULITE, L
LOO, For older lanterloo, F
LOOB, Corn
LOOBILY, From Looby
LOOBY, Cf
LOOF, See Luff
LOOK, 
LOOM, OE
LOOM, 
LOON, Scot
LOON, For older loom, Icel
LOOP, G
LOOP, Cf
LOOPING, Cf
LOORD, F
LOOS, OE
LOOSE, OE
LOOSE, 
Loos"en, v. t. [imp. & p. p. Loosened; p. pr. & vb. n. Loosening.], See Loose, v
LOOT, Hind
LOP, AS
LOP, 
LOPE, See
LOPHINE, Gr
LOPHIOMYS, NL
LOPHOBRANCH, Gr
LOPHOBRANCHII, NL
LOPHOPHORE, Gr
LOPHOPODA, NL
LOPHOSTEON, NL
LOPPARD, Lop + -ard
Lop"per, v. i. [imp. & p. p. Loppered; p. pr. & vb. n. Loppering.], Cf
LOPSIDED, Lop + side
LOQUACIOUS, L
LOQUACITY, L
LOQUAT, Chinese name
LORATE, L
LORCHA, Pg
LORD, Cf
LORD, OE
LORDING, Lord + -ing, 3
LORDLIKE, 2d lord + like
LORDLINESS, From Lordly
LORDLING, Lord + -ling
LORDLY, Lord + -ly
LORDOLATRY, Lord + -olatry, as in idolatry
LORDOSIS, NL
LORE, F
LORE, See Lose
LORE, OE
LORESMAN, Lorelearning + man
LORETTE, F
LORGNETTE, F
LORICA, L
LORICATA, NL
Lor"i*cate, v. t. [imp. & p. p. Loricated; p. pr. & vb. n., L
LORICATE, See Loricate, v
LORICATION, L
LORIMER; LORINER, OF
LORING, See 3d Lore
LORIOT, F
LORIS, Loris, or lori, the indigenous East Indian name
LORN, Strong p
LORRIE; LORRY, Prob
LORY, Hind
LOSE, OE
LOSEL, From the root of lose, loss
LOSENGER, OF
LOSENGERIE, OF
LOSING, See Losenger
LOSING, See Lose, v
LOSS, AS
LOST, Prop
LOT, AS
LOTE, L
LOTE, F
LOTE, AS
LOTHARIO, Name of a character in Rowe's drama, "The Fair
LOTION, L
LOTONG, Malay l
LOTOPHAGI, L
LOTOS, NL
LOTTERY, Lot + -ery, as in brewery,
LOTTO, F
LOTURE, L
LOTUS, L
LOUCHETTES, F
LOUD, OE
LOUD, AS
LOUGH, See 1st Loch
LOUIS D'OR, F
LOUIS QUATORZE, F
LOUNGE, 
LOUP-CERVIER, F
LOUP-LOUP, F
LOUPS, F
LOUR, Native name
LOUSE, OE
LOUSILY, From Lousy
LOUT, OE
LOUT, Formerly also written lowt
LOUTOU, Native names
LOUVER; LOUVRE, OE
LOVAGE, F
LOVE, OE
or party does not score a point., G
LOVE, AS
LOVE-DRURY, Love + OF
LOVELILY, From Lovely
LOVELINESS, From Lovely
LOVELY, AS
LOVESOME, AS
LOW, OE
LOW, AS
LOW, Icel
LOW, OE
LOWBELL, Low a flame + bell
LOWER, 
LOWER, 
, Cf
LOWLINESS, From Lowly
LOWLY, Low, a
LOWN, See Loon
LOXODROMIC, Gr
LOXODROMY, Cf
LOYAL, F
LOYALTY, Cf
LOZENGE, F
LOZENGY, F
LUBBARD, See Lubber
LUBBER, Cf
LUBRIC; LUBRICAL, L
LUBRICANT, L
LUBRICATE, L
LUBRICITY, L
LUBRICOUS, L
LUBRIFICATION; LUBRIFACTION, L
LUCARNE, F
LUCCHESE, It
LUCE, OF
LUCENT, L
LUCERN, Etymology uncertain
LUCERN, F
LUCERN, L
LUCERNAL, L
LUCERNARIA, NL
LUCERNARIDA, NL
LUCID, L
LUCIDITY, Cf
LUCIFER, L
LUCIFEROUS, See Lucifer
LUCIFIC, L
LUCIFORM, L
LUCIMETER, L
LUCK, Akin to D
LUCKILY, From Lucky
LUCRATIVE, L
LUCRE, F
LUCRIFEROUS, L
LUCRIFIC, L
LUCTATION, L
LUCTUAL, L
Lu"cu*brate, v. i. [imp. & p. p. Lucubrated; p. pr. & vb. n., L
LUCUBRATION, l
LUCUBRATORY, L
LUCULE, Dim
LUCULENT, L
LUCULLITE, From Lucullus, a Roman consul, famous for his
LUDIBRIOUS, L
LUDIBUND, L
LUDICROUS, L
LUDIFICATION, L
LUDIFICATORY, L
LUDLAMITE, Named after Mr
LUDWIGITE, Named after the chemist Ludwig
LUES, L
LUFF, OE
LUG, Sw
LUG, OE
LUG, Etymol
LUGGAGE, From 4th Lug
LUGMARK, From Lug an ear
LUGUBRIOUS, L
LUGWORM, 1st lug + worm
LUKE, Prob
LUKEWARM, See Luke
LULL, 
LULLABY, From Lull, v
LUM, W
LUMACHEL; LUMACHELLA, F
LUMBAGO, L
LUMBAR; LUMBAL, L
LUMBER, Prob
, Cf
LUMBOSACRAL, L
LUMBRIC, L
LUMBRICAL, Cf
LUMBRICIFORM, L
LUMBRICOID, Lumbricus + -oid
LUMBRICUS, L
LUMINARY, F
LUMINATE, L
LUMINIFEROUS, L
LUMINOUS, L
LUMP, Cf
LUMPER, Cf
LUMPFISH, From Lump, on account of its bulkiness: cf
LUNA, L
LUNACY, See Lunatic
LUNAR, L
LUNARIAN, See Lunar, Luna
LUNARY, Cf
LUNARY, Cf
LUNATE; LUNATED, L
LUNATIC, F
LUNATION, Cf
LUNCH, Of uncertain etymol
LUNCHEON, Prov
LUNE, L
LUNET, See Lunette
LUNETTE, F
LUNG, OE
LUNGE, Also spelt longe, fr
LUNGIS, OF
LUNGOOR, Hind
LUNICURRENT, L
LUNIFORM, L
LUNISOLAR, L
LUNISTICE, L
LUNT, D
LUNULA, L
LUNULAR, Cf
LUNULATE; LUNULATED, See Lunula
LUNULE, F
LUNULET, Dim
LUNULITE, Lunule + -life: cf
LUNY, Shortened fr
LUPERCALIA, L
LUPINE, L
LUPINE, See Lupine, n
LUPULIN, Cf
LUPULINE, NL
LUPUS, L
LURCATION, See its Lurch
LURCH, L
LURCH, OF
LURCH, Cf
LURCH, A variant of lurk
LURCHER, See Lurch to lurk
LURCHER, L
LURDAN, OF
LURE, OF
LURE, OF
LURID, L
LURK, 
LURRY, W
LUSCIOUS, Prob
LUSERN, F
LUSH, Prob
LUSORIOUS; LUSORY, L
LUST, AS
LUST, 
LUSTER; LUSTRE, L
LUSTER; LUSTRE, F
LUSTIHEAD, Lusty + -head
LUSTIHOOD, Lusty + -hood
LUSTLESS, CF
LUSTRAL, L
Lus"trate, v. t. [imp. & p. p. Lustrated; p. pr. & vb. n., L
LUSTRATION, L
LUSTRICAL, L
LUSTRING, F
LUSTROUS, Cf
LUSTRUM, L
LUSTY, From Lust
LUSUS NATURAE, L
LUTANIST, LL
LUTARIOUS, L
LUTATION, L
LUTE, L
LUTE, OF
LUTEIN, From corpus luteum
LUTEO-, L
LUTEOLIN, From NL
LUTEOUS, L
LUTER, From 3d Lute
LUTER, From Ist Lute
LUTESCENT, L
LUTESTRING, Corrupted fr
LUTH, F
LUTHERN, F
LUTIDINE, From toluidine, by transposition
LUTOSE, L
LUTULENT, L
LUX, Cf
LUXATE, L
LUXATION, L
LUXE, L
, F
LUXULLIANITE, So called from Luxullian, in Cornwall
LUXURIANCE, Cf
LUXURIANT, L
Lux*u"ri*ate, v. i. [imp. & p. p. Luxuriated; p. pr. & vb. n., L
LUXURIOUS, L
LUXURY, L
-LY, OE
LYAM, See Leam
LYCANTHROPE, Gr
LYCANTHROPIA, NL
LYCANTHROPY, Gr
LYCEUM, L
LYCHNIS, L
LYCHNOBITE, Gr
LYCHNOSCOPE, Gr
LYCOPERDON, NL
LYCOPOD, Cf
LYCOPODE, F
LYCOPODIUM, NL
LYCOTROPOUS, Gr
LYDIAN, L
LYE, AS
LYENCEPHALA, NL
LYGODIUM, NL
LYKEN, See Like, v
LYMPH, L
LYMPHADENITIS, NL
LYMPHADENOMA, NL
LYMPHANGEITIS, NL
LYMPHANGIAL, See Lymphangeitis
LYMPHATE; LYMPHATED, L
LYMPHATIC, L
2. Madly enthusiastic; frantic. [Obs.] " Lymphatic rapture. " Sir T., See Lymphate
LYMPHITIS, NL
LYMPHOGENIC, Lymph + root of L
LYMPHOGRAPHY, Lymph + -graphy
LYMPHOID, Lymph + -oid
LYMPHOMA, NL
LYNCEAN, See Lynx
LYNCH, 
LYNX, L
LYONNAISE, F
LYOPOMATA, NL
LYRA, L
LYRATE; LYRATED, NL
LYRE, OE
LYRIC; LYRICAL, L
LYRIE, Icel
LYRIFEROUS, Lyre + -ferous
LYRISM, Cf
LYRIST, L
LYSIMETER, Gr
LYSIS, NL
LYSSA, NL
LYTERIAN, Gr
LYTHE, See Lithe, a
LYTTA, L
MACCABOY; MACCOBOY, From a district in the Island of
MACE, Jav
MACE, F
MACE, OF
MACEDONIAN, L
MACER, F
Mac"er*ate, v. t. [imp. & p. p. Macerated; p. pr. & vb. n., L
MACERATION, L
MACHAERODUS; MACHAIRODUS, NL
MACHETE, Sp
MACHIAVELIAN, From Machiavel, an Italian writer,
MACHIAVELISM; MACHIAVELIANISM, Cf
MACHICOLATED, LL
MACHICOLATION, Cf
MACHICOULIS, F
MACHINAL, L
Mach"i*nate, v. i. [imp. & p. p. Machinated; p. pr. & vb. n., L
MACHINATION, L
MACHINATOR, L
MACHINE, F
MACHINERY, From Machine: cf
MACHINIST, Cf
MACHO, Sp
MACILENCY, See Macilent
MACILENT, L
MACKEREL, OF
MACKEREL, OF
MACKINAW BLANKET; MACKINAW, From Mackinac,the State of
MACKLE, See Macle
MACLE, L
MACLUREA, NL
MACRENCEPHALIC; MACRENCEPHALOUS, Macro +
MACRO-, Gr
MACROBIOTIC, Gr
MACROCEPHALOUS, Macro + Gr
MACRO-CHEMISTRY, Macro- + chemistry
MACROCHIRES, NL
MACROCOSM, Macro- + Gr
MACROCYSTIS, NL
MACRODACTYL, Gr
MACRODIAGONAL, Macro- + diagonal
MACRODOME, Macro- + dome
MACRODONT, Macro- + Gr
MACROFARAD, Macro- + farad
MACROGLOSSIA, NL
MACROGNATHIC, Macro- + gnathic
MACROLOGY, L
MACROMETER, Macro- + -meter
MACRON, NL
MACROPETALOUS, Macro- + petal
MACROPHYLLOUS, Macro- + Gr
MACROPINACOID, Macro- + pinacoid
MACROPOD, Macro- + -pod
MACROPRISM, Macro- + prism
MACROPTERES, NL
MACROPTEROUS, See Macropteres
MACROPUS, NL
MACROPYRAMID, Macro- + pyramid
MACROSCOPIC; MACROSCOPICAL, Macro- + Gr
MACROSPORANGIUM, NL
MACROSPORE, Macro- + spore
MACROTONE, Gr
MACROTOUS, Macro- + Gr
MACROZOOSPORE; MACROZOOESPORE, Macro- + zoöspore
MACRURA, NL
MACRUROID, Macrura + -oid
MACTATION, L
MACTRA, NL
MACULA, L
MACULATE, L
MACULATE, L
MACULATION, L
MACULE, F
MACULE, Cf
MACULOSE, L
MAD, AS
MAD, AS
MADAM, See Madame
MADAME, F
MADDER, OE
MADEFACTION; MADEFICATION, L
Mad"e*fy, v. t. [imp. & p. p. Madefied; p. pr. & vb. n. Madefying.], Cf
MADEIRA, Pg
MADEMOISELLE, F
MADGE, Cf
MADIA, NL
MADID, L
MADISTERIUM, NL
MADJOUN, Hind
MADLY, From Mad, a
MADNESS, From Mad, a
MADONNA, It
MADRAGUE, R
MADREPERL, It
MADREPORA, NL
MADREPORARIA, NL
MADREPORE, F
MADREPORIFORM, Madrepore + -form
MADREPORITE, Cf
MADRIER, F
MADRIGAL, It
MADRILENIAN, Sp
MADRINA, Sp
MADRONA; MADRONYA, Sp
MAEGBOTE; MAGBOTE, AS
MAELSTROM, Norw
MAENAD, L
MAESTOSO, It
MAESTRICHT MONITOR, So called from Maestricht, a town in
MAESTRO, It
MAFFLE, Akin to OD
MAGAZINE, F
MAGDALEN, From Mary Magdalene, traditionally reported to
MAGDALEON, NL
MAGE, F
MAGGIORE, It
MAGGOT, W
MAGHET, Cf
MAGI, L
MAGIC, OE
MAGIC; MAGICAL, L
MAGICIAN, F
MAGISTER, L
MAGISTERIAL, L
MAGISTERY, L
MAGISTRACY, From Magistrate
MAGISTRAL, L
MAGISTRATE, L
MAGISTRATURE, Cf
MAGMA, L
MAGNA CHARTA, L
MAGNALITY, L
MAGNANIMITY, F
MAGNANIMOUS, L
MAGNATE, F
MAGNES, L
MAGNESIA, L
medicine as a mild antacid laxative. See Magnesium. Magnesia alba, L
MAGNESITE, Cf
MAGNESIUM, NL
MAGNET, OE
MAGNETIC; MAGNETICAL, L
MAGNETIFEROUS, L
MAGNETISM, Cf
Mag"net*ize, v. t. [imp. & p. p. Magnetized; prep. & adv., Cf
MAGNETO-, See Magnet
MAGNETOGRAPH, Magneto- + -graph
MAGNETOMETER, Magneto- + -meter: cf
MAGNIFIABLE, From Magnify
MAGNIFIC; MAGNIFICAL, L
MAGNIFICAT, L
MAGNIFICATE, L
MAGNIFICENCE, F
MAGNIFICENT, See Magnificence
MAGNIFICO, It
Mag"ni*fy, v. t. [imp. & p. p. Magnified; p. pr. & vb. n., OE
MAGNILOQUENCE, L
MAGNILOQUENT, L
MAGNILOQUOUS, L
MAGNITUDE, L
MAGNOLIA, NL
MAGNUM, Neut
MAGOT, F
MAGPIE, OE
MAGUARI, From native name: cf
MAGUEY, Sp
MAGYAR, Hung
MAHABARATA; MAHABHARATAM, Skr
MAHALED, Ar
MAHARAJAH, Skr
MAHDI, Ar
MAHOGANY, From the South American name
MAHONIA, Named after Bernard McMahon
MAHORI, Native name
MAHOUT, Hind
MAHRATTA, Hind
MAIA, From L
MAID, Shortened from maiden
MAIDEN, OE
MAIDENHEAD, See Maidenhood
MAIDENHOOD, AS
MAIDHOOD, AS
MAIDMARIAN, Maid + Marian, relating to Mary, or the
MAIEUTIC; MAIEUTICAL, Gr
MAIGRE, F
MAIL, F
MAIL, OE
MAIL, OE
MAILED, See 1st Mail
MAILING, Scot
MAIM, OE
MAIM, OF
MAIN, F
MAIN, AS
MAIN, From Main strength, possibly influenced by OF
MAIN, See Main, a
MAIN-GAUCHE, F
MAIN-HAMPER, F
MAINLY, From main strong
MAINLY, From main principal, chief
MAINOR, Anglo-Norm
MAINPERNABLE, OF
MAINPERNOR, OF
MAINPRISE, F
MAINS, Scot
MAINSWEAR, AS
Main*tain, v. t. [imp. & p. p. Maintained; p. pr. & vb. n., OE
MAINTAINOR, OF
MAINTENANCE, OF
MAIOID, Maia + -oid
MAIZE, Sp
MAJESTIC, From Majesty
MAJESTY, OE
MAJOLICA, It
MAJOR, L
MAJOR, F
, LL
MAJORAT, F
MAJORATE, LL
MAJOR-DOMO, Sp
MAJORITY, F
, Cf
MAJUSCULAE, L
MAJUSCULE, Cf
MAKE, AS
MAKE, OE
MAKEBATE, Make, v
MAKELESS, See 1st Make, and cf
MAKI, F
MALA, L
, 
law, irrespective of statute., L
MALACHITE, Fr
MALACISSANT, See Malacissation
MALACISSATION, L
MALACOBDELLA, NL
MALACODERM, Gr
MALACOLITE, Gr
MALACOLOGY, Gr
MALACOPODA, NL
MALACOPTERYGIAN, Cf
MALACOPTERYGII, NL
MALACOSTEON, NL
MALACOSTOMOUS, Gr
MALACOSTRACA, NL
MALACOSTRACOLOGY, Malacostracan + -logy
MALACOZOA, NL
MALADDRESS, Mal- + address
MALADJUSTMENT, Mal- + adjustment
MALADMINISTRATION, Mal- + administration
MALADROIT, F
MALADY, F
MALAISE, F
MALAMBO, Pg
MALAMETHANE, Malamic + ethane
MALAMIC, Malic + amic
MALAMIDE, Malic + amide
MALANDERS, F
MALAPERT, OF
MALAPROPISM, From Mrs
MALAPROPOS, F
MALAPTERURUS, NL
MALAR, L
MALARIA, It
MALASHAGANAY, Indian name
MALASSIMILATION, Mal- + assimilation
MALATE, L
MALAX; MALAXATE, L
MALAXATION, L
MALBROUCK, F
MALCONFORMATION, Mal- + conformation
MALCONTENT, F
MALCONTENT, F
MALE, L
MALE, F
MALEDICENCY, L
MALEDICENT, L
MALEDICT, L
MALEDICTION, L
MALEFACTION, See Malefactor
MALEFACTOR, L
MALEFIC, L
MALEFICE, L
MALEFICENCE, L
MALEFICENT, See Malefic
MALEFICIATE, LL
MALEFICIENCE, See Maleficence
MALEFICIENT, See Maleficent
MALEIC, Cf
MALENGINE, OF
MALEO, From its native name
MALET, F
MALEVOLENCE, L
MALEVOLENT, L
MALEVOLOUS, L
MALEXECUTION, Mal- + execution
MALEYL, Maleic + -yl
MALFEASANCE, F
MALFORMATION, Mal- + forniation
MALGRACIOUS, F
MALIC, L
MALICE, F
MALICHO, Sp
MALICIOUS, Of
MALIGN, L
Ma*lign", v. t. [imp. & p. p. Maligned; p. pr. & vb. n. Maligning.], Cf
MALIGNANCE; MALIGNANCY, See Malignant
MALIGNANT, L
Ma*lig"ni*fy, v. t. [imp. & p. p. Malignified; p. pr. & vb. n., L
MALIGNITY, F
MALINGERER, F
MALISON, OF
MALKIN, Dim
MALL, OE
MALL, 
MALL, LL
MALLARD, F
MALLEABILITY, CF
MALLEABLE, F
Mal"le*ate, v. t. [imp. & p. p. Malleated; p. pr. & vb. n., L
MALLEATION, LL
MALLEE BIRD, From native name
MALLEOLAR, See Malleolus
MALLEOLUS, L
MALLET, F
MALLEUS, L
MALLOPHAGA, NL
MALLOTUS, NL
MALLOW; MALLOWS, OE
MALM; MALMBRICK, Cf
